iter	Logloss
0	0.6894818908
1	0.6859129078
2	0.6830334632
3	0.6797323331
4	0.6767374582
5	0.6737856766
6	0.6705392178
7	0.6679592252
8	0.6654335437
9	0.6622681384
10	0.6598512808
11	0.6568697508
12	0.6542602528
13	0.6519970084
14	0.6495653981
15	0.6470008842
16	0.6444798504
17	0.6424097788
18	0.6395592803
19	0.6375799544
20	0.6356435441
21	0.6334454102
22	0.6313358523
23	0.6288673067
24	0.626460085
25	0.6247263414
26	0.6223552871
27	0.6200225945
28	0.6179134007
29	0.6158303619
30	0.6142890049
31	0.6123768485
32	0.6109019186
33	0.6089170775
34	0.6072708417
35	0.6058915334
36	0.6045413348
37	0.6028760426
38	0.6014224249
39	0.6001573391
40	0.5987296222
41	0.597159644
42	0.5956843066
43	0.5945270447
44	0.5932511325
45	0.5918702565
46	0.5906358903
47	0.5892247105
48	0.5881879669
49	0.5871729361
50	0.5861772959
51	0.5852039693
52	0.5842518578
53	0.582877846
54	0.5819679965
55	0.58107729
56	0.5800728076
57	0.5792197493
58	0.5780445077
59	0.5768734657
60	0.5758803157
61	0.5747429293
62	0.5736515054
63	0.5728650141
64	0.5719356319
65	0.5708526243
66	0.5697497922
67	0.5676195299
68	0.5668065413
69	0.565842435
70	0.5637539056
71	0.5616734291
72	0.5597633389
73	0.5578807075
74	0.5573180066
75	0.5551481987
76	0.5536216941
77	0.5516571321
78	0.5511529881
79	0.5506594216
80	0.5487444263
81	0.5482759375
82	0.5478172149
83	0.5473680523
84	0.54566332
85	0.5438238469
86	0.5434104525
87	0.5420303173
88	0.5400984455
89	0.5396354742
90	0.5392629721
91	0.538897922
92	0.5373153697
93	0.5361718912
94	0.5355658351
95	0.5341592323
96	0.5327690034
97	0.5322376834
98	0.5306833906
99	0.5294889235
100	0.529203641
101	0.528924261
102	0.5279154293
103	0.5274017741
104	0.5271418687
105	0.5266815511
106	0.5257046274
107	0.5254626288
108	0.5239729066
109	0.5228960398
110	0.5217294668
111	0.5205626761
112	0.5194514251
113	0.5190747046
114	0.518047297
115	0.5178540333
116	0.5168996827
117	0.5167157628
118	0.5165356243
119	0.5156266898
120	0.5154551698
121	0.514582129
122	0.5137329322
123	0.5135741037
124	0.5126738932
125	0.5116921641
126	0.5106349045
127	0.5102636948
128	0.509106588
129	0.5081048986
130	0.5073452619
131	0.5063766424
132	0.5055943473
133	0.5054759436
134	0.5053599695
135	0.5044551303
136	0.504255808
137	0.50342742
138	0.5033231801
139	0.5026803478
140	0.5020277062
141	0.5014128744
142	0.5007548236
143	0.5001220811
144	0.4993984831
145	0.4985992008
146	0.4980481739
147	0.4972214564
148	0.4971435907
149	0.4964633527
150	0.4956827331
151	0.4948460306
152	0.4942969522
153	0.4935377208
154	0.4926337381
155	0.4922292668
156	0.4916503037
157	0.4912042141
158	0.4911467167
159	0.4906714278
160	0.4902292778
161	0.4896336471
162	0.4892255765
163	0.4891755958
164	0.4887142014
165	0.4880235487
166	0.4873633333
167	0.4867818189
168	0.4863492975
169	0.4858508637
170	0.485810399
171	0.4854878162
172	0.4848250227
173	0.4841422468
174	0.4837605131
175	0.4836948016
176	0.4831292392
177	0.4830962748
178	0.4825740743
179	0.4824196756
180	0.482115893
181	0.4815029941
182	0.4810218738
183	0.4805465451
184	0.480005323
185	0.4794751665
186	0.4792088084
187	0.4791845554
188	0.4788580845
189	0.4784731831
190	0.4780084806
191	0.4775410424
192	0.4771687497
193	0.4771006405
194	0.4768769476
195	0.4764916436
196	0.476424227
197	0.4760735231
198	0.4757298165
199	0.4752884771
200	0.4749098921
201	0.4748713929
202	0.4746150879
203	0.4741306059
204	0.4738625677
205	0.4735106261
206	0.4730625892
207	0.4727546645
208	0.472281626
209	0.4721168347
210	0.4717202508
211	0.4716663828
212	0.471445281
213	0.4711967887
214	0.4711862839
215	0.4709167383
216	0.4705488664
217	0.4702327958
218	0.4698764624
219	0.4697241575
220	0.4694698808
221	0.4693118889
222	0.4690786626
223	0.4689400456
224	0.4687970134
225	0.468501358
226	0.4682093488
227	0.4682023532
228	0.4679901374
229	0.467982701
230	0.4677535206
231	0.4675939692
232	0.4673789204
233	0.4673730018
234	0.4670781991
235	0.4668002064
236	0.4665653311
237	0.4664100141
238	0.4661335187
239	0.4658789899
240	0.4656426807
241	0.46537826
242	0.4652179915
243	0.4648629453
244	0.4648589416
245	0.4646520499
246	0.4644016196
247	0.4643140069
248	0.4641556142
249	0.4639589746
250	0.4637193699
251	0.4634479932
252	0.4632461609
253	0.4629843493
254	0.4627322069
255	0.4627294877
256	0.4625698407
257	0.4622906239
258	0.4621549849
259	0.4619038686
260	0.461727195
261	0.4615491541
262	0.4613398748
263	0.4612287598
264	0.4610523303
265	0.4608746972
266	0.4607635742
267	0.460569702
268	0.4604058
269	0.4602608023
270	0.4601008153
271	0.4599711435
272	0.4597580869
273	0.4595667505
274	0.4594273612
275	0.4592229511
276	0.459047669
277	0.4589571246
278	0.4586858637
279	0.4585337734
280	0.458532765
281	0.4583482868
282	0.458196438
283	0.4580579002
284	0.4579321834
285	0.4578479802
286	0.4577423251
287	0.4576315168
288	0.4574692823
289	0.4573069192
290	0.4571438728
291	0.4570461449
292	0.4570278005
293	0.4569419324
294	0.4567951569
295	0.4567141738
296	0.4565881543
297	0.4563946355
