iter	Passed	Remaining
0	158	237957
1	312	233934
2	341	170641
3	493	184586
4	608	182090
5	707	176241
6	846	180443
7	870	162397
8	923	153036
9	1029	153332
10	1064	144035
11	1116	138488
12	1216	139091
13	1255	133250
14	1299	128697
15	1366	126764
16	1516	132268
17	1544	127203
18	1698	132400
19	1749	129429
20	1792	126230
21	1866	125403
22	1908	122530
23	2072	127445
24	2208	130318
25	2299	130391
26	2428	132495
27	2575	135395
28	2731	138555
29	2875	140888
30	2907	137755
31	3064	140573
32	3101	137860
33	3269	140987
34	3361	140682
35	3390	137885
36	3421	135307
37	3567	137267
38	3620	135646
39	3675	134173
40	3756	133686
41	3828	132892
42	3955	134040
43	3980	131720
44	4068	131540
45	4205	132928
46	4348	134444
47	4508	136370
48	4532	134210
49	4600	133404
50	4655	132258
51	4700	130883
52	4736	129315
53	4774	127852
54	4794	125954
55	4817	124215
56	4888	123757
57	4910	122081
58	5001	122148
59	5130	123140
60	5185	122331
61	5337	123793
62	5475	124884
63	5532	124141
64	5671	125219
65	5844	126981
66	5979	127888
67	6154	129604
68	6239	129392
69	6384	130424
70	6556	131956
71	6718	133241
72	6874	134387
73	7035	135577
74	7062	134180
75	7177	134477
76	7263	134225
77	7392	134777
78	7454	134081
79	7503	133187
80	7667	134330
81	7699	133149
82	7730	131980
83	7750	130654
84	7915	131762
85	8078	132823
86	8114	131788
87	8237	132171
88	8390	133021
89	8463	132587
90	8493	131512
91	8541	130728
92	8589	129943
93	8670	129692
94	8748	129387
95	8885	129957
96	9042	130784
97	9154	130960
98	9309	131737
99	9403	131645
100	9424	130548
101	9451	129540
102	9552	129559
103	9628	129247
104	9659	128335
105	9742	128129
106	9782	127358
107	9816	126527
108	9947	126945
109	10035	126812
110	10175	127326
111	10251	127041
112	10415	127849
113	10592	128785
114	10741	129365
115	10765	128438
116	10836	128093
117	10861	127209
118	10883	126302
119	10964	126096
120	10987	125223
121	11046	124775
122	11167	125026
123	11199	124283
124	11302	124329
125	11466	125037
126	11614	125565
127	11748	125932
128	11926	126758
129	12091	127425
130	12160	127086
131	12341	127905
132	12443	127892
133	12474	127167
134	12500	126391
135	12660	126974
136	12767	127018
137	12914	127462
138	12946	126760
139	13041	126692
140	13135	126606
141	13303	127223
142	13414	127301
143	13612	128185
144	13756	128553
145	13930	129189
146	14016	129009
147	14161	129365
148	14189	128653
149	14337	129035
150	14487	129430
151	14633	129775
152	14792	130231
153	14952	130685
154	15110	131118
155	15165	130657
156	15301	130891
157	15388	130703
158	15441	130231
159	15517	129960
160	15658	130227
161	15851	130917
162	15918	130573
163	15950	129940
164	16012	129553
165	16136	129674
166	16224	129505
167	16365	129754
168	16505	129992
169	16678	130482
170	16727	130007
171	16809	129782
172	16957	130071
173	17093	130266
174	17179	130077
175	17280	129997
176	17434	130316
177	17465	129713
178	17637	130161
179	17762	130258
180	17885	130338
181	18051	130725
182	18213	131075
183	18362	131330
184	18539	131779
185	18712	132195
186	18791	131943
187	18818	131331
188	18894	131065
189	18985	130898
190	19129	131102
191	19282	131360
192	19437	131633
193	19612	132033
194	19760	132243
195	19943	132682
196	20120	133081
197	20311	133563
198	20463	133786
199	20622	134046
200	20775	134267
201	20923	134446
202	20997	134157
203	21157	134411
204	21288	134479
205	21377	134284
206	21514	134386
207	21694	134753
208	21864	135059
209	21926	134692
210	22056	134743
211	22220	135002
212	22303	134761
213	22366	134406
214	22398	133870
215	22557	134092
216	22720	134333
217	22881	134558
218	23024	134679
219	23077	134266
220	23210	134327
221	23322	134261
222	23443	134248
223	23539	134090
224	23578	133613
225	23712	133673
226	23863	133826
227	23910	133395
228	24056	133517
229	24096	133055
230	24165	132753
231	24212	132335
232	24380	132578
233	24405	132039
234	24541	132103
235	24729	132450
236	24859	132476
237	24933	132208
238	25077	132311
239	25210	132355
240	25313	132241
241	25473	132421
242	25614	132500
243	25777	132688
244	25819	132260
245	25976	132416
246	26127	132539
247	26201	132273
248	26245	131858
249	26392	131962
250	26535	132041
251	26673	132097
252	26810	132147
253	26947	132191
254	27108	132354
255	27132	131848
256	27211	131609
257	27370	131759
258	27421	131388
259	27564	131459
260	27709	131541
261	27876	131722
262	28028	131831
263	28085	131491
264	28245	131636
265	28400	131751
266	28524	131725
267	28670	131796
268	28774	131675
269	28906	131683
270	29038	131691
271	29194	131805
272	29390	132094
273	29519	132082
274	29683	132227
275	29862	132432
276	29997	132444
277	30080	132222
278	30235	132321
279	30397	132445
280	30422	131975
281	30555	131973
282	30709	132061
283	30846	132076
284	31028	132278
285	31117	132088
286	31248	132070
287	31399	132138
288	31572	132299
289	31738	132427
290	31913	132590
291	32044	132568
292	32116	132300
293	32209	132124
294	32389	132301
295	32451	131998
296	32640	132210
297	32803	132313
298	32849	131945
299	33002	132010
300	33070	131733
301	33167	131570
302	33327	131658
303	33500	131797
304	33664	131899
305	33825	131984
306	33904	131752
307	34053	131789
308	34078	131352
309	34230	131399
310	34374	131420
311	34530	131483
312	34642	131376
313	34807	131472
314	34953	131491
315	35080	131440
316	35234	131490
317	35275	131116
318	35405	131076
319	35551	131096
320	35703	131136
321	35840	131116
322	35999	131181
323	36102	131039
324	36250	131060
325	36308	130756
326	36401	130576
327	36533	130541
328	36575	130180
329	36606	129785
330	36766	129849
331	36811	129505
332	36922	129395
333	37075	129432
334	37139	129157
335	37289	129181
336	37389	129034
337	37537	129049
338	37728	129213
339	37787	128920
340	37862	128689
341	38030	128771
342	38106	128539
343	38232	128478
344	38388	128517
345	38445	128224
346	38482	127869
347	38628	127872
348	38787	127921
349	38965	128030
350	39011	127703
351	39094	127501
352	39264	127581
353	39431	127649
354	39575	127643
355	39738	127698
356	39901	127750
357	40046	127745
358	40204	127779
359	40271	127527
360	40438	127588
361	40614	127678
362	40788	127758
363	40946	127788
364	41091	127778
365	41252	127814
366	41309	127530
367	41467	127556
368	41624	127581
369	41783	127609
370	41931	127602
371	42098	127654
372	42270	127719
373	42444	127786
374	42597	127791
375	42648	127490
376	42784	127446
377	42950	127487
378	43043	127314
379	43210	127357
380	43268	127078
381	43378	126956
382	43526	126941
383	43690	126974
384	43794	126832
385	43841	126528
386	43872	126175
387	44034	126203
388	44131	126042
389	44264	125984
390	44398	125929
391	44566	125969
392	44713	125949
393	44885	125999
394	44923	125671
395	45078	125672
396	45232	125670
397	45403	125716
398	45429	125358
399	45587	125366
400	45735	125344
401	45893	125349
402	46161	125654
403	46197	125327
404	46284	125138
405	46473	125227
406	46635	125240
407	46788	125229
408	46999	125371
409	47063	125121
410	47106	124815
411	47252	124783
412	47395	124744
413	47473	124532
414	47556	124333
415	47721	124350
416	47848	124267
417	48000	124249
418	48067	124011
419	48224	124006
420	48380	123995
421	48543	124004
422	48646	123857
423	48788	123812
424	48936	123780
425	49110	123813
426	49297	123878
427	49430	123807
428	49582	123783
429	49624	123483
430	49781	123473
431	49960	123513
432	50107	123475
433	50257	123444
434	50431	123469
435	50547	123355
436	50694	123313
437	50865	123331
438	51045	123369
439	51078	123053
440	51236	123037
441	51373	122970
442	51533	122959
443	51734	123044
444	51902	123049
445	52062	123034
446	52208	122988
447	52350	122929
448	52497	122883
449	52655	122862
450	52813	122841
451	53043	122986
452	53205	122972
453	53370	122964
454	53540	122966
455	53688	122919
456	53741	122653
457	53897	122622
458	54047	122577
459	54215	122573
460	54374	122549
461	54486	122418
462	54507	122083
463	54656	122035
464	54799	121972
465	54904	121826
466	55076	121829
467	55214	121756
468	55280	121522
469	55408	121426
470	55567	121398
471	55731	121381
472	55916	121408
473	55966	121143
474	56097	121052
475	56219	120942
476	56379	120915
477	56559	120928
478	56716	120892
479	56774	120645
480	56914	120572
481	57079	120553
482	57241	120528
483	57298	120279
484	57327	119973
485	57366	119691
486	57424	119448
